,ID,DATE,TOSS_WINNER,WINNER,PLAYER_OF_MATCH
455,456,2014-05-28,Chennai Super Kings,Chennai Super Kings,SK Raina
456,457,2014-05-30,Chennai Super Kings,Kings XI Punjab,V Sehwag
457,458,2014-06-01,Kolkata Knight Riders,Kolkata Knight Riders,MK Pandey
458,459,2015-04-08,Kolkata Knight Riders,Kolkata Knight Riders,M Morkel
459,460,2015-04-09,Delhi Daredevils,Chennai Super Kings,A Nehra
460,461,2015-04-10,Kings XI Punjab,Rajasthan Royals,JP Faulkner
461,462,2015-04-11,Chennai Super Kings,Chennai Super Kings,BB McCullum
462,463,2015-04-11,Royal Challengers Bangalore,Royal Challengers Bangalore,CH Gayle
463,464,2015-04-12,Rajasthan Royals,Rajasthan Royals,DJ Hooda
464,465,2015-04-12,Mumbai Indians,Kings XI Punjab,GJ Bailey
465,466,2015-04-13,Sunrisers Hyderabad,Sunrisers Hyderabad,DA Warner
466,467,2015-04-14,Mumbai Indians,Rajasthan Royals,SPD Smith
467,468,2015-04-30,Kolkata Knight Riders,Kolkata Knight Riders,AD Russell
468,469,2015-04-15,Kings XI Punjab,Delhi Daredevils,MA Agarwal
469,470,2015-04-16,Rajasthan Royals,Rajasthan Royals,AM Rahane
470,471,2015-04-17,Mumbai Indians,Chennai Super Kings,A Nehra
471,472,2015-04-18,Delhi Daredevils,Delhi Daredevils,JP Duminy
472,473,2015-04-18,Kolkata Knight Riders,Kolkata Knight Riders,AD Russell
473,474,2015-04-19,Chennai Super Kings,Rajasthan Royals,AM Rahane
474,475,2015-04-19,Royal Challengers Bangalore,Mumbai Indians,Harbhajan Singh
475,476,2015-04-20,Kolkata Knight Riders,Kolkata Knight Riders,UT Yadav
476,477,2015-04-21,Kings XI Punjab,Kings XI Punjab,SE Marsh
477,478,2015-04-22,Kolkata Knight Riders,Sunrisers Hyderabad,DA Warner
478,479,2015-04-22,Royal Challengers Bangalore,Chennai Super Kings,SK Raina
479,480,2015-04-23,Mumbai Indians,Delhi Daredevils,SS Iyer
480,481,2015-04-24,Royal Challengers Bangalore,Royal Challengers Bangalore,MA Starc
481,482,2015-04-25,Mumbai Indians,Mumbai Indians,SL Malinga
482,483,2015-04-25,Chennai Super Kings,Chennai Super Kings,BB McCullum
483,484,2015-04-26,Royal Challengers Bangalore,Royal Challengers Bangalore,VR Aaron
484,485,2015-04-27,Kings XI Punjab,Sunrisers Hyderabad,TA Boult
485,486,2015-05-07,Kolkata Knight Riders,Kolkata Knight Riders,PP Chawla
486,487,2015-04-29,Rajasthan Royals,,
487,488,2015-04-28,Kolkata Knight Riders,Chennai Super Kings,DJ Bravo
488,489,2015-05-01,Delhi Daredevils,Delhi Daredevils,NM Coulter-Nile
489,490,2015-05-01,Rajasthan Royals,Mumbai Indians,AT Rayudu
490,491,2015-05-02,Royal Challengers Bangalore,Royal Challengers Bangalore,Mandeep Singh
491,492,2015-05-02,Chennai Super Kings,Sunrisers Hyderabad,DA Warner
492,493,2015-05-03,Mumbai Indians,Mumbai Indians,LMP Simmons
493,494,2015-05-03,Delhi Daredevils,Rajasthan Royals,AM Rahane
494,495,2015-05-04,Chennai Super Kings,Chennai Super Kings,SK Raina
495,496,2015-05-04,Sunrisers Hyderabad,Kolkata Knight Riders,UT Yadav
